3,4,5
5,12,13
15,8,17
7,24,26
21,20,29
35,12,37
9,40,41
45,28,52
11,60,61
33,56,65
63,16,65
55,48,73
13,84,85
77,36,86
39,80,89
65,72,97
99,20,101
91,60,109
15,112,111
117,44,125
105,88,137
17,144,145
143,24,145
51,140,147
85,132,157
119,120,169
165,52,173
19,180,181
57,176,185
153,104,185
95,168,193
195,28,199
133,156,205
187,84,205
21,220,221
171,140,221
221,60,229
105,208,235
209,120,241
255,32,257
23,264,265
247,96,265
69,260,269
115,252,271
231,160,281
161,240,289
285,68,293
207,224,305
273,136,305
25,312,313
75,308,317
253,204,325
323,36,325
175,288,337
299,180,349
225,272,353
27,364,368
357,76,365
275,252,373
135,352,377
345,152,379
189,340,389
325,228,397
399,40,401
391,120,409
29,420,421
87,416,425
297,304,425
145,408,433
203,396,445
437,84,445
351,280,449
425,168,457
261,380,465
31,480,481
319,360,481
93,476,485
483,44,485
155,468,493
475,132,493
217,456,505
377,336,505
459,220,590
279,440,521
435,308,533
525,92,533
341,420,541
33,544,545
513,184,545
165,532,557
403,396,565
493,276,556
231,520,569
575,48,577
465,368,593
551,240,601
35,612,613
105,608,617
527,336,627
429,460,629
621,100,629
